Pressure (psi),Bg,Rs,Bo,Uo/Ug,Cumulative Oil Production (MMSTB),Cumulative Gas Production (MMscf),Producing GOR (scf/STB)
2000.0,0.0061,88.0,1.269,46.0,0.0,0.0,88.0
1850.0,0.0066,83.0,1.254,49.0,0.129,13.522,122.45045943774909
1700.0,0.0073,78.0,1.239,53.0,0.279,33.279,139.4873526875898
1550.0,0.0081,73.0,1.224,57.0,0.448,59.440000000000005,170.51815400775467
1400.0,0.0091,68.0,1.209,62.0,0.622,93.708,223.08096743215043
1250.0,0.0103,63.0,1.194,67.0,0.783,135.736,299.21718115011066
1100.0,0.0119,58.0,1.189,72.0,0.953,192.809,371.25844466260077
950.0,0.014,53.0,1.164,77.5,1.065,242.885,522.975410006414
800.0,0.017,48.0,1.149,84.0,1.174,306.41999999999996,650.2124854624312
650.0,0.021,43.0,1.134,91.5,1.265,371.79799999999994,781.0379800054404
500.0,0.028,38.0,1.119,100.0,1.352,443.77199999999993,869.8465136815967
350.0,0.041,32.0,1.1,111.0,1.443,526.2429999999999,942.1268041315336
200.0,0.073,24.0,1.075,125.0,1.552,627.814,933.1669395101103
100.0,0.148,16.0,1.052,145.0,1.658,720.076,809.8150184338365
14.4,1.15,0.0,1.0,188.0,1.927,875.985,349.4628845178072
